order_item_id,order_id,food_id,quantity
0,49143,1765,5
1,45163,281,2
2,39239,3145,5
3,7965,4230,5
4,13065,3465,5
5,36647,947,5
6,45182,3887,4
7,18475,3244,5
8,33124,1091,3
9,28301,3983,2
10,28656,2363,4
11,40403,3393,4
12,43858,736,5
13,14855,4716,5
14,46385,577,2
15,48165,2556,4
16,44248,4853,2
17,41372,3082,1
18,1072,3008,3
19,36688,3683,2
20,23318,4605,2
21,26269,1015,2
22,3636,1373,5
23,918,4477,1
24,31140,4056,5
25,43559,907,3
26,7886,2439,3
27,4909,3845,3
28,1372,2191,2
29,30156,4193,3
30,37862,3367,2
31,44206,1315,3
32,19431,809,3
33,36871,4414,5
34,46297,2201,3
35,14598,4261,1
36,17785,681,5
37,5329,3085,4
38,4582,1927,5
39,14144,3440,2
40,17378,1379,3
41,5500,1348,3
42,8623,171,2
43,18879,1515,5
44,23890,286,2
45,31806,2815,4
46,21844,2216,2
47,23994,1976,1
48,47418,3934,1
49,46152,1493,2
50,25918,4764,1
51,18889,4950,3
52,33677,199,2
53,25487,1008,5
54,44458,584,5
55,22674,3294,4
56,36648,2185,1
57,31151,4383,1
58,8196,3556,5
59,47579,488,4
60,6741,190,2
61,43998,1808,1
62,23871,3165,4
63,31035,3780,3
64,2241,2506,3
65,2162,2592,3
66,28020,3837,2
67,627,4144,4
68,18151,4120,1
69,14114,483,2
70,28059,3078,4
71,44065,2429,3
72,41516,178,2
73,43352,409,3
74,40336,2681,1
75,148,2865,1
76,21845,346,4
77,48671,108,4
78,30164,3866,5
79,1716,3560,5
80,48020,1318,1
81,19024,2617,4
82,45134,2111,3
83,28752,1274,1
84,15104,375,5
85,35173,2057,2
86,28569,3614,4
87,38366,2862,1
88,6405,1650,5
89,9029,1951,3
90,49379,1478,4
91,38416,2905,2
92,26269,1993,1
93,41248,4642,2
94,41825,4005,1
95,14349,178,5
96,28473,2173,3
97,38962,2835,5
98,2542,3071,5
99,13849,133,2
100,11401,2121,1
101,11516,2388,1
102,26736,1387,3
103,2056,514,5
104,1689,770,1
105,48986,11,2
106,11574,1465,4
107,47017,4512,2
108,20993,4919,3
109,22380,50,5
110,3956,442,1
111,16820,1541,1
112,20528,4771,4
113,42335,4047,4
114,18676,4567,4
115,18791,2652,5
116,1253,4025,2
117,348,3441,3
118,31223,2629,1
119,17752,4750,2
120,29314,1787,3
121,16814,719,2
122,24283,3705,1
123,47234,3748,2
124,7826,1300,5
125,25529,3066,1
126,26886,4669,2
127,38698,3119,2
128,1626,2991,1
129,12675,3554,2
130,7401,392,5
131,36409,4938,2
132,38398,4989,4
133,46523,3510,5
134,35481,3294,2
135,13583,3249,1
136,16390,1532,5
137,35406,3034,3
138,1139,948,2
139,33128,4887,5
140,20169,3064,4
141,21101,1962,1
142,14142,3483,4
143,7851,1706,5
144,2674,304,1
145,31089,3270,4
146,19039,4778,5
147,20335,2679,3
148,14374,1714,5
149,12654,3483,5
150,3464,4862,3
151,25888,3127,1
152,25406,3711,4
153,23024,2929,5
154,32241,1723,3
155,13276,2063,1
156,48125,3884,1
157,35880,1535,3
158,47972,72,3
159,14053,1453,1
160,12199,426,3
161,12082,3909,5
162,31221,351,3
163,8600,2017,5
164,35173,3591,4
165,15866,2410,1
166,33245,1269,3
167,33036,4960,3
168,48078,3954,4
169,33232,2199,2
170,37887,3974,3
171,24540,3829,4
172,40426,3554,3
173,40698,1802,2
174,7629,1011,4
175,20081,3826,3
176,46566,2593,1
177,11867,1651,4
178,22209,2659,3
179,13203,3183,3
180,38942,3741,3
181,45511,2198,2
182,13910,3461,3
183,30707,1338,3
184,19308,189,2
185,36605,4848,4
186,2791,1648,1
187,44109,2760,2
188,24754,3469,4
189,11451,1438,1
190,39901,4303,4
191,42838,2141,2
192,42219,896,5
193,1903,861,4
194,46176,962,4
195,30810,2882,5
196,22070,2196,5
197,18730,3280,1
198,46805,2203,4
199,17762,3163,2
200,3258,4831,4
201,27474,4446,5
202,36640,2445,2
203,194,3009,4
204,45428,242,2
205,39903,2530,5
206,27964,3558,1
207,2608,1762,3
208,34592,672,4
209,28258,4718,1
210,31945,144,4
211,3871,3820,3
212,5641,3735,1
213,5846,1477,3
214,23843,1692,3
215,9500,2222,5
216,6676,2568,3
217,23856,2846,1
218,32371,3584,2
219,38057,1024,4
220,12990,1392,2
221,49587,300,4
222,38447,603,3
223,33067,4631,5
224,41219,3210,1
225,44752,2795,4
226,13104,1678,3
227,19606,1938,2
228,5939,290,4
229,29108,4115,1
230,46208,2196,3
231,20633,996,2
232,21387,4998,3
233,35750,745,5
234,7382,2367,4
235,19533,4023,5
236,45790,614,5
237,25453,4727,4
238,16541,3957,2
239,10421,3932,4
240,3699,3548,3
241,15802,97,1
242,7107,610,2
243,27070,2501,3
244,13800,3524,1
245,3167,4496,5
246,31942,744,4
247,23421,1498,4
248,49517,3819,1
249,44662,3822,1
250,1449,3027,4
251,23891,2227,3
252,4834,1876,1
253,41929,1157,4
254,43599,2614,5
255,9056,3772,4
256,11336,4362,3
257,18219,4622,4
258,44253,965,4
259,1216,614,4
260,21551,3549,2
261,27195,2180,2
262,11860,416,4
263,23481,3370,1
264,45986,1439,4
265,47699,2840,2
266,49960,4703,5
267,35278,350,3
268,25080,3242,1
269,2743,4379,1
270,32281,1311,4
271,47615,3691,2
272,49990,292,4
273,12509,1936,4
274,19159,4951,2
275,1723,1843,2
276,48483,3870,1
277,37484,4940,2
278,16731,1583,1
279,32402,2951,1
280,19219,782,5
281,8058,1767,3
282,948,2356,2
283,19444,401,3
284,46807,4293,4
285,19657,1810,1
286,32997,824,2
287,36011,1389,1
288,6479,4638,2
289,9869,1721,2
290,48327,2091,3
291,38000,1773,4
292,4955,4358,5
293,11358,1015,2
294,7088,1691,4
295,39638,2172,1
296,22740,4202,4
297,49810,4321,1
298,40306,1479,5
299,7251,2228,2
300,19675,953,5
301,19117,4035,5
302,40445,1385,5
303,18231,833,2
304,1981,4671,2
305,45048,600,5
306,9934,3874,4
307,21850,2828,5
308,13249,3145,5
309,6079,1988,2
310,41410,4934,2
311,9827,1110,3
312,48993,4112,5
313,23809,3837,1
314,36496,1639,1
315,36509,583,1
316,9226,4105,1
317,24411,3382,4
318,18557,3420,5
319,5391,518,2
320,18284,257,5
321,23583,2542,5
322,30475,157,3
323,38606,1792,4
324,5250,3361,1
325,15052,304,4
326,45669,2627,4
327,47642,625,4
328,33688,295,5
329,26536,3319,3
330,14846,1191,2
331,25793,4414,2
332,44083,3704,2
333,39035,1341,2
334,49392,1997,3
335,13307,2815,2
336,23907,3743,4
337,11839,1026,5
338,49939,4177,2
339,21771,2457,1
340,2315,17,4
341,32264,4100,3
342,13984,4323,3
343,6633,4027,1
344,26360,539,5
345,18898,333,3
346,29161,1912,2
347,32300,4660,4
348,39240,780,5
349,14774,4218,4
350,45939,2874,3
351,42658,3778,4
352,44839,1089,5
353,10850,3977,1
354,20703,1307,4
355,41741,2113,2
356,17145,1768,5
357,9817,1545,1
358,22310,3929,2
359,38987,803,1
360,23036,1099,3
361,21079,4899,2
362,18704,713,4
363,5353,124,1
364,46061,2766,1
365,13166,1963,1
366,24035,4474,4
367,24724,3631,5
368,5978,3858,1
369,21879,442,1
370,37238,237,1
371,23369,1596,1
372,2576,2902,5
373,13354,1744,1
374,42888,4153,3
375,8897,137,4
376,14050,1055,2
377,11995,2726,5
378,18473,2136,5
379,37547,3946,4
380,30413,3240,2
381,26617,747,1
382,35585,838,4
383,16499,2744,3
384,4339,4479,2
385,45092,3174,4
386,23645,4261,4
387,2640,1209,5
388,5220,3164,2
389,4390,47,4
390,6446,3810,1
391,29740,4593,2
392,4142,173,3
393,11959,1478,2
394,17210,1916,1
395,4608,1537,3
396,780,2939,1
397,30892,4342,3
398,21482,311,1
399,17713,4798,2
400,5824,443,2
401,3530,3988,1
402,18937,378,2
403,31998,2709,5
404,46796,1153,2
405,47384,2947,2
406,17791,954,1
407,7203,3396,5
408,15079,1553,3
409,30533,2929,5
410,16770,2284,4
411,11029,3715,5
412,17339,3870,3
413,12382,2974,2
414,28007,1359,1
415,37811,3835,1
416,27892,2148,5
417,41731,250,2
418,20637,4341,3
419,36852,3636,3
420,30235,1709,5
421,18931,3515,2
422,34573,164,4
423,48025,1948,2
424,45234,1272,4
425,23105,1111,5
426,44684,817,5
427,29287,719,4
428,39754,697,3
429,42254,3867,1
430,36427,4447,5
431,973,1256,3
432,13816,1037,5
433,45840,2762,2
434,24088,1420,2
435,35566,4731,5
436,4766,3922,5
437,28829,4969,5
438,8061,1946,4
439,14550,3692,3
440,13442,4413,3
441,42203,1934,3
442,43438,104,5
443,11078,4567,2
444,15033,4045,1
445,253,3502,3
446,45400,439,1
447,5165,4528,2
448,24286,3679,1
449,15084,3593,5
450,1733,3116,2
451,2739,2125,4
452,9239,2930,2
453,10928,2726,3
454,31758,1677,2
455,225,2529,4
456,31876,4678,1
457,22945,4769,3
458,28164,733,1
459,34361,693,5
460,11083,3064,3
461,30040,4466,4
462,599,4818,2
463,24061,576,4
464,18788,2896,2
465,15876,2590,5
466,25522,4634,5
467,22742,1282,1
468,22254,215,4
469,6102,4769,3
470,34527,191,1
471,28086,411,1
472,44132,4824,2
473,681,897,3
474,8924,3317,5
475,23842,902,1
476,25368,1635,3
477,18133,1556,3
478,27321,296,2
479,19240,393,3
480,41394,1628,4
481,36265,2141,1
482,6463,11,1
483,33833,3220,3
484,42324,4410,2
485,14403,3731,4
486,17091,4485,4
487,9751,4658,4
488,13317,2258,5
489,2443,2422,3
490,18938,3027,1
491,36741,2756,4
492,11169,1382,5
493,40784,1032,2
494,9682,2425,1
495,11552,4679,5
496,12083,2367,3
497,26469,189,3
498,9907,2353,2
499,10895,4063,1
500,43432,4128,5
501,22384,3878,2
502,21348,3128,1
503,29424,909,3
504,49238,4762,2
505,39270,2306,5
506,1589,4223,2
507,45375,1955,2
508,9060,344,4
509,18419,4152,2
510,37700,1241,3
511,38919,2594,1
512,44183,4860,4
513,4453,1389,4
514,16218,1871,4
515,38974,1367,1
516,4323,1520,3
517,528,4997,3
518,31303,2558,3
519,28200,1219,2
520,39841,3318,5
521,13782,2698,2
522,6107,370,3
523,40820,4972,3
524,48812,3232,1
525,28599,131,4
526,4506,2436,3
527,33944,4883,2
528,7744,4914,1
529,27991,1848,3
530,8359,647,1
531,31876,136,2
532,24835,560,3
533,14279,3497,2
534,45467,4363,2
535,12385,1177,4
536,34344,1769,3
537,44560,2231,5
538,4569,1224,1
539,12310,3621,5
540,6825,1939,3
541,38020,325,3
542,12705,2013,4
543,32595,3134,1
544,24704,3852,1
545,26984,4528,3
546,28566,2113,4
547,38575,492,3
548,37789,4927,3
549,38721,341,2
550,23598,588,2
551,3847,3914,5
552,16235,617,5
553,3663,401,5
554,15643,1512,3
555,37986,3786,2
556,4902,1849,4
557,44212,1399,2
558,14029,774,4
559,41266,2659,2
560,47304,1994,1
561,26231,3071,1
562,48740,1614,2
563,36832,2916,2
564,47770,227,1
565,20625,980,5
566,16584,1181,5
567,875,2229,4
568,19743,3371,5
569,2924,3359,2
570,44705,4065,4
571,28978,610,2
572,32941,2499,1
573,32789,1922,1
574,6764,2969,1
575,16079,35,2
576,48172,1692,1
577,25935,2968,4
578,20145,2542,3
579,47153,1759,3
580,31508,1007,1
581,38364,4874,5
582,5659,3908,3
583,49701,1521,2
584,48576,443,1
585,6811,2923,2
586,20312,4320,2
587,16319,1198,1
588,41817,3702,2
589,44853,1292,1
590,4597,3837,3
591,22364,3159,3
592,46299,4870,5
593,23691,1301,3
594,2262,673,1
595,30091,4680,2
596,25479,2446,2
597,42494,4480,4
598,28903,2226,4
599,36299,1741,2
600,26636,4371,5
601,9374,1037,3
602,19450,4911,2
603,29229,401,2
604,43923,3481,2
605,35537,1364,4
606,2937,1683,3
607,32184,4848,1
608,49058,2648,3
609,41397,4455,4
610,28710,3185,5
611,7902,2193,3
612,13748,59,2
613,14174,4007,5
614,15788,4213,4
615,41169,3233,2
616,678,415,5
617,6886,271,4
618,26996,1848,4
619,19601,915,1
620,24382,1510,4
621,27239,186,1
622,17050,110,2
623,45009,824,2
624,27379,4682,4
625,30141,1244,5
626,48075,861,2
627,45038,4183,2
628,38826,4748,3
629,17988,4092,3
630,29245,2421,3
631,15062,1136,4
632,25076,3054,3
633,20149,4156,4
634,1537,4888,4
635,30140,207,4
636,1821,2651,3
637,14599,2574,5
638,31757,1914,2
639,41438,4439,1
640,10811,1200,4
641,28088,990,4
642,37224,4903,5
643,21551,3547,5
644,18748,1221,2
645,43086,2800,3
646,11802,2075,4
647,4871,3890,3
648,37130,3774,2
649,41236,3209,3
650,35385,1063,2
651,33116,3258,5
652,34705,4119,2
653,48486,978,3
654,4390,818,1
655,11127,1687,1
656,10951,1202,5
657,35135,1044,5
658,49952,261,4
659,14717,2940,1
660,35959,4528,1
661,28326,4743,3
662,30639,3085,2
663,34998,1757,5
664,11538,473,2
665,12563,2244,5
666,50,4770,2
667,7466,4313,3
668,42112,2994,3
669,45019,1411,3
670,33991,1636,2
671,6186,1941,1
672,6795,1439,3
673,44584,459,3
674,7617,3218,2
675,42228,3206,3
676,13906,582,4
677,43919,3612,3
678,45413,3439,4
679,31029,2410,3
680,9757,833,5
681,10353,727,2
682,20987,4249,4
683,31855,476,5
684,45831,257,3
685,46302,489,1
686,26232,1410,5
687,13973,530,5
688,42611,4210,5
689,19393,2804,4
690,3407,3077,4
691,35526,3497,5
692,29636,3054,5
693,25414,2037,2
694,27530,1517,4
695,41552,305,5
696,18828,3942,4
697,16546,4720,4
698,11203,2100,5
699,37383,3010,1
700,47697,4505,4
701,2892,4761,1
702,25028,448,1
703,38777,3713,5
704,20750,1244,2
705,33381,2842,4
706,38176,3218,4
707,43589,2014,4
708,9596,1529,5
709,34907,2377,2
710,33456,3197,3
711,17862,2327,2
712,8306,1969,1
713,14960,1841,2
714,5502,4379,3
715,17115,4520,1
716,4368,1313,1
717,11877,4593,4
718,11998,724,4
719,13654,1672,4
720,48670,3440,5
721,39939,3640,5
722,45251,1490,5
723,25038,1875,1
724,10503,1074,5
725,34565,1822,4
726,40385,629,4
727,8256,1500,5
728,44770,4011,2
729,36309,1782,2
730,17299,4040,5
731,26071,335,4
732,11251,3531,4
733,38556,1623,5
734,24745,4452,4
735,11209,2469,1
736,10463,3575,5
737,32511,1575,4
738,5560,3053,2
739,30227,1361,5
740,45648,1203,2
741,27521,4291,5
742,264,1227,5
743,5300,3574,5
744,1298,2711,2
745,18874,1458,3
746,32681,1130,4
747,25474,4518,1
748,16495,563,3
749,37011,479,4
750,8669,1160,1
751,9049,65,3
752,37726,4269,2
753,4103,1361,3
754,27898,666,1
755,9137,994,2
756,43289,4112,4
757,20255,1427,2
758,1037,2022,4
759,9741,3158,5
760,26569,1615,3
761,11518,8,4
762,33161,2257,4
763,5645,2341,1
764,19661,1144,3
765,496,3205,4
766,11189,2735,1
767,15319,166,3
768,21556,4804,1
769,26135,4947,4
770,21353,2368,1
771,17622,2208,3
772,49856,3246,1
773,27711,57,4
774,14469,4473,1
775,38999,2819,3
776,11400,863,5
777,4147,1016,5
778,15015,677,5
779,48027,3197,4
780,46107,767,5
781,21587,4407,3
782,19237,435,1
783,18003,3994,3
784,39651,4961,3
785,19662,4694,4
786,47072,3721,4
787,10951,1790,2
788,9917,1910,3
789,24792,3786,5
790,2190,4882,1
791,26444,4550,5
792,6249,3112,5
793,6663,1124,5
794,45781,4338,5
795,26475,3879,2
796,48237,1876,5
797,14816,4248,5
798,21194,4880,3
799,25056,2711,1
800,6466,2349,2
801,33153,373,4
802,21030,3047,1
803,36464,1698,3
804,30228,3329,1
805,38463,1528,1
806,34478,3714,3
807,10253,2044,1
808,11485,4581,3
809,10364,4893,1
810,7309,3116,4
811,11174,4159,2
812,36463,1011,3
813,4862,1577,4
814,47922,1849,3
815,29339,2923,5
816,3569,127,2
817,42505,3827,3
818,12051,3123,5
819,45885,3240,4
820,8006,2041,1
821,45723,1129,1
822,39593,3889,5
823,39841,626,3
824,15117,1360,1
825,18020,4753,3
826,21584,631,2
827,19397,2974,2
828,47075,3068,1
829,14358,3891,2
830,5233,4055,2
831,41423,4613,2
832,30286,801,3
833,21869,263,1
834,14897,327,1
835,27682,314,4
836,4792,168,3
837,31184,1886,2
838,42975,1923,1
839,34292,1882,5
840,49570,4100,3
841,34920,1054,1
842,35865,729,3
843,3268,1761,3
844,44183,3048,3
845,28355,4514,4
846,46821,2067,4
847,10655,2285,4
848,27129,3939,3
849,36708,3094,2
850,29393,3904,3
851,9722,2476,3
852,38382,2760,5
853,9920,1456,1
854,46961,1824,2
855,4475,861,5
856,614,3311,3
857,31017,3669,5
858,18192,2388,4
859,30914,3077,4
860,10362,3836,4
861,49732,4292,3
862,26642,2153,3
863,26804,3979,4
864,39554,4536,3
865,42011,2804,3
866,22235,3743,4
867,9309,2471,2
868,43631,4143,3
869,38500,4290,1
870,45786,2797,2
871,44992,2925,1
872,2839,2350,1
873,32061,1380,3
874,2595,3037,2
875,43808,1913,5
876,48064,4613,4
877,30331,4311,1
878,13961,986,5
879,7332,2774,2
880,40852,2523,3
881,22600,2761,2
882,6607,1928,3
883,10930,1011,1
884,21449,4107,2
885,10496,936,3
886,41983,2487,4
887,4179,4800,4
888,25312,11,2
889,40733,388,3
890,10377,229,3
891,5634,2778,3
892,23169,3381,2
893,18999,2564,2
894,40486,802,1
895,41394,1272,1
896,13304,1522,2
897,34499,4437,2
898,45196,1896,4
899,4932,238,1
900,43548,2084,4
901,15373,501,2
902,47806,2822,2
903,35468,4172,2
904,28018,4532,4
905,32467,3963,3
906,12468,2153,5
907,16141,3656,5
908,18188,1620,3
909,30644,480,2
910,39101,4731,2
911,22533,3133,2
912,47442,1764,2
913,11625,1576,2
914,49504,3519,3
915,34246,563,4
916,35588,3353,5
917,13278,3211,5
918,11766,1384,5
919,46882,2192,2
920,15179,4239,2
921,37480,2881,5
922,17247,304,5
923,32591,1610,5
924,5349,326,5
925,39123,672,5
926,46764,1349,3
927,21921,4469,5
928,4386,4859,2
929,36843,2065,4
930,8287,1764,5
931,42985,1065,2
932,35493,3099,3
933,20691,4157,3
934,33019,170,3
935,47906,3396,4
936,27871,3085,5
937,45900,3838,1
938,26451,961,5
939,34361,4960,1
940,34773,3577,1
941,41200,1043,4
942,9759,2503,1
943,7623,4800,4
944,22034,4721,1
945,8815,89,3
946,26414,1857,2
947,48721,2514,3
948,47339,2400,4
949,3136,3309,5
950,48836,3952,1
951,44053,2952,1
952,7634,756,1
