order_id,customer_id,order_date,status,order_type
0,11759,2024-05-12 09:50:41.168815,Pending,Takeaway
1,9775,2024-12-10 04:52:36.258804,Pending,Dine-in
2,12834,2024-12-18 07:50:03.888410,Pending,Takeaway
3,16034,2025-03-14 15:31:06.935421,Cancelled,Dine-in
4,9561,2024-06-13 15:01:15.626854,Completed,Dine-in
5,4034,2024-05-26 11:06:23.563634,Cancelled,Takeaway
6,16889,2025-03-11 22:01:09.658335,Completed,Dine-in
7,14878,2024-11-13 19:51:40.767366,Cancelled,Delivery
8,8439,2024-09-27 18:09:56.327873,Cancelled,Takeaway
9,1684,2024-05-13 18:05:59.454365,Completed,Dine-in
10,3929,2024-05-02 01:34:17.286314,Pending,Takeaway
11,11121,2024-10-27 18:38:40.922526,Completed,Delivery
12,13266,2024-09-05 07:26:13.353566,Pending,Dine-in
13,5772,2024-12-30 10:35:20.855683,Completed,Takeaway
14,10371,2024-05-18 21:48:22.727858,Pending,Takeaway
15,14549,2024-06-03 10:05:08.298287,Cancelled,Takeaway
16,2016,2024-10-14 21:02:28.728276,Completed,Dine-in
17,3910,2024-09-03 17:32:29.959718,Pending,Dine-in
18,3202,2025-02-03 18:48:31.125974,Pending,Dine-in
19,6832,2024-12-09 09:17:30.747334,Completed,Dine-in
20,14182,2024-09-01 22:53:30.453987,Completed,Dine-in
21,3237,2025-01-07 03:21:38.294373,Completed,Dine-in
22,17838,2024-12-02 20:47:18.490982,Completed,Dine-in
23,13072,2024-10-13 23:13:41.230532,Completed,Takeaway
24,1468,2025-03-09 02:56:13.416643,Pending,Dine-in
25,11716,2024-06-28 14:04:03.990249,Pending,Delivery
26,1988,2025-01-10 10:45:49.569632,Pending,Takeaway
27,16005,2024-08-25 10:26:08.919740,Pending,Takeaway
28,12766,2025-03-08 00:26:53.857810,Completed,Dine-in
29,5148,2025-03-05 22:37:36.533043,Pending,Delivery
30,14745,2024-08-27 11:27:11.916117,Cancelled,Dine-in
31,9847,2024-07-03 00:09:00.149944,Pending,Takeaway
32,621,2024-10-07 20:02:43.941278,Completed,Dine-in
33,13238,2024-08-13 02:04:58.899678,Cancelled,Dine-in
34,6739,2024-12-10 22:43:53.092532,Completed,Dine-in
35,6491,2025-01-29 00:54:47.473769,Cancelled,Takeaway
36,2555,2025-03-29 16:24:16.533799,Cancelled,Dine-in
37,3603,2024-04-23 19:37:00.527718,Cancelled,Dine-in
38,12419,2024-08-16 09:56:54.374759,Pending,Takeaway
39,9445,2024-09-01 02:54:20.460720,Cancelled,Dine-in
40,12054,2024-07-18 15:22:43.060854,Cancelled,Dine-in
41,18404,2024-11-22 07:22:17.162666,Pending,Dine-in
42,15662,2024-09-04 23:31:50.319338,Cancelled,Takeaway
43,14401,2025-02-06 15:42:52.814527,Cancelled,Delivery
44,14252,2024-06-05 11:56:01.691139,Pending,Delivery
45,9885,2025-03-13 18:40:09.331533,Pending,Delivery
46,14940,2025-03-16 05:38:51.064164,Completed,Delivery
47,8897,2025-03-14 00:26:29.408154,Pending,Dine-in
48,9146,2024-05-05 19:39:08.480321,Cancelled,Delivery
49,16673,2024-11-17 10:53:12.592127,Pending,Dine-in
50,1367,2024-05-29 07:26:33.465483,Pending,Dine-in
51,3064,2024-07-15 14:09:51.276614,Cancelled,Delivery
52,13598,2024-07-18 06:20:31.652313,Completed,Dine-in
53,10795,2025-03-28 08:38:37.770890,Cancelled,Dine-in
54,16778,2024-07-15 20:21:54.259052,Cancelled,Dine-in
55,16662,2024-04-24 08:11:13.458454,Cancelled,Delivery
56,16950,2025-02-09 08:25:44.549230,Cancelled,Dine-in
57,15171,2025-01-03 12:44:34.620968,Completed,Dine-in
58,10844,2024-07-01 04:30:45.602828,Completed,Delivery
59,19620,2025-03-24 01:25:24.763611,Pending,Dine-in
60,9182,2025-03-20 14:05:02.925030,Cancelled,Dine-in
61,14058,2025-02-15 03:25:27.727795,Cancelled,Delivery
62,5820,2024-11-03 13:40:45.541877,Cancelled,Delivery
63,3331,2024-06-11 17:15:43.467401,Pending,Dine-in
