payment_id,order_id,payment_date,amount,payment_method
0,34685,2024-12-02 10:53:35.686052,1871.53,Cash
1,35939,2024-10-28 16:34:02.567965,969.08,Net Banking
2,48789,2024-06-03 06:29:23.234815,170.44,Net Banking
3,19568,2024-08-11 07:47:09.187609,1598.46,Credit Card
4,8452,2024-04-30 05:21:31.893140,1429.58,Net Banking
5,22819,2025-03-24 05:46:03.558916,675.27,UPI
6,39730,2025-02-25 02:17:49.958020,1242.81,Net Banking
7,46737,2025-02-24 08:27:27.692703,1282.86,Net Banking
8,9232,2024-10-15 13:09:20.393844,731.11,Net Banking
9,29602,2025-03-11 10:54:42.253325,170.26,Net Banking
10,28842,2024-12-31 21:09:36.750108,406.11,Cash
11,30142,2024-10-11 20:18:36.496713,700.71,Net Banking
12,7937,2025-02-23 14:59:38.992709,119.09,Net Banking
13,38432,2025-01-13 16:39:45.379868,368.69,Net Banking
14,841,2024-10-31 01:46:15.154859,1834.07,Credit Card
15,6480,2024-05-25 12:31:54.712101,577.15,Cash
16,34584,2024-10-27 23:45:56.287801,947.53,Cash
17,20947,2024-06-24 18:02:13.934624,682.91,Cash
18,46955,2024-11-08 06:15:50.270825,117.11,Cash
19,33913,2024-10-11 00:26:15.996801,1087.74,Credit Card
20,26381,2025-02-08 07:01:48.765490,171.58,UPI
21,1639,2024-08-08 17:18:48.474821,1517.22,Credit Card
22,475,2024-06-05 05:39:36.897657,1342.85,Credit Card
23,22763,2024-08-04 02:11:24.353441,966.47,UPI
24,32370,2025-03-14 02:38:20.988432,762.92,Cash
25,28969,2024-05-13 16:00:12.552766,1882.25,Cash
26,33165,2024-06-29 14:47:22.848409,335.02,Cash
27,36105,2025-03-19 02:20:35.894652,515.0,Cash
28,26915,2024-09-20 20:08:34.296041,754.28,Cash
29,38308,2024-10-16 14:10:18.482595,1706.73,Net Banking
30,47112,2024-07-17 19:19:59.588058,1520.01,Credit Card
31,20187,2025-03-02 23:06:31.309564,568.48,Credit Card
32,41842,2024-08-12 16:05:21.209906,1635.91,Credit Card
33,22938,2024-06-14 17:22:23.448388,780.28,Credit Card
34,4154,2024-06-18 06:39:23.356113,1582.0,Credit Card
35,4395,2024-10-14 04:19:03.694439,1762.84,UPI
36,6173,2024-12-23 03:52:07.595421,414.09,Net Banking
37,47488,2025-02-26 23:57:28.719749,364.41,Credit Card
38,12575,2024-07-02 06:33:31.459354,1490.83,UPI
39,13447,2025-03-14 10:30:33.894179,1215.38,UPI
40,28175,2025-02-23 05:20:21.790336,1740.57,Cash
41,46918,2024-10-12 17:38:48.534940,335.26,UPI
42,39203,2024-06-25 18:31:17.639086,1147.7,UPI
43,37569,2024-09-09 09:04:55.345498,1923.14,Cash
44,38069,2025-02-12 21:20:15.574975,144.37,Credit Card
45,27376,2024-09-29 02:31:22.305278,1291.15,UPI
46,22419,2024-06-15 08:57:21.089549,1766.71,Cash
47,13926,2025-02-01 07:11:03.736181,566.41,UPI
48,41236,2025-02-09 01:35:50.452537,873.99,Credit Card
49,47118,2024-07-12 03:04:23.807198,762.73,Credit Card
50,1423,2024-04-17 16:43:47.071664,1304.66,Net Banking
51,19746,2024-11-22 08:19:33.707487,345.82,Credit Card
52,10597,2024-12-15 04:37:45.321476,312.96,Cash
53,4706,2024-08-08 04:29:17.132180,1637.27,Credit Card
54,33708,2024-12-14 06:59:01.756340,1943.14,UPI
55,35189,2024-07-07 20:26:14.289295,1855.19,Net Banking
56,10587,2025-02-28 09:22:04.093063,714.23,UPI
57,5930,2025-02-25 08:26:03.954437,308.69,Cash
58,12232,2024-12-07 03:09:18.011484,570.4,Net Banking
59,34497,2025-01-13 11:11:50.622499,1687.58,Cash
60,6937,2024-04-18 08:49:33.262338,559.95,Net Banking
61,4152,2024-05-13 14:05:50.364625,504.6,Net Banking
62,30960,2025-03-01 05:28:21.545463,547.44,Net Banking
63,42690,2024-11-13 04:37:11.275896,476.9,Cash
64,40063,2024-09-11 21:33:48.856051,488.98,Cash
65,27102,2025-01-12 17:30:25.187800,1697.78,Credit Card
66,39583,2024-12-10 08:48:00.004599,1547.51,Credit Card
67,25398,2024-11-01 11:13:10.224582,124.86,UPI
68,15009,2024-12-06 01:13:11.181381,374.67,Cash
69,15988,2025-02-08 13:08:24.203208,318.85,Credit Card
70,35609,2024-12-12 15:45:10.699633,1102.95,UPI
71,11376,2025-02-05 06:10:29.501627,1099.19,Cash
72,29632,2024-09-10 21:21:36.209856,1359.7,Cash
73,49439,2024-05-12 20:50:11.929785,354.21,UPI
74,17708,2025-03-02 23:27:57.165783,403.17,Credit Card
75,7544,2024-05-27 21:04:35.180258,1509.2,Cash
76,23690,2025-03-21 12:51:54.526958,1003.19,Net Banking
77,49340,2024-11-04 06:01:43.132909,1783.18,Credit Card
78,10090,2024-07-20 15:53:33.909158,1390.28,Credit Card
79,39829,2025-03-19 13:49:41.930299,1936.1,Cash
80,37972,2024-08-31 22:49:12.457947,1464.95,Cash
81,39864,2024-11-13 09:07:14.651448,1830.66,Credit Card
82,2521,2024-07-21 12:21:32.345577,733.75,Cash
83,40590,2024-05-10 16:43:21.699731,231.56,Cash
84,36871,2025-01-21 03:57:11.363847,266.84,Credit Card
85,6770,2024-05-23 15:20:26.241223,1839.2,Net Banking
86,11484,2025-03-04 10:09:42.202994,1755.77,Net Banking
87,17356,2025-01-01 01:44:42.111990,1582.33,Net Banking
88,34466,2025-03-17 17:54:59.785965,1318.52,Credit Card
89,4813,2025-02-12 03:50:45.808407,1228.18,UPI
90,40406,2025-03-23 09:26:30.352020,1415.55,Cash
91,18785,2025-02-27 09:58:26.420632,600.98,Credit Card
92,15236,2024-11-27 12:59:22.121118,1378.28,UPI
93,30518,2024-07-19 22:58:29.617130,1175.4,Cash
94,20523,2024-06-27 11:48:41.482298,1651.32,Credit Card
95,462,2024-05-20 17:39:39.327097,517.55,UPI
96,49185,2024-07-03 00:08:52.862350,807.15,UPI
97,8187,2024-10-28 04:22:57.623056,544.78,Credit Card
98,16879,2024-06-27 17:54:42.868365,1877.41,Net Banking
99,43589,2025-03-06 15:58:55.871385,808.41,Net Banking
100,47548,2025-03-30 07:13:36.411320,778.69,UPI
101,1348,2024-12-08 20:38:13.937910,784.76,UPI
102,42406,2024-09-16 04:42:00.555891,1120.86,Cash
103,40188,2025-01-08 10:03:13.117829,378.36,Cash
104,24305,2024-10-05 09:41:08.700929,1403.89,UPI
105,16915,2024-09-25 02:47:12.060346,655.15,UPI
106,32926,2024-11-30 20:36:06.668807,1849.29,UPI
107,37082,2024-07-09 16:26:58.235138,591.24,UPI
108,47516,2024-05-19 06:16:38.146537,101.59,UPI
109,11117,2024-10-24 03:00:34.123792,512.51,Cash
110,11092,2024-07-26 14:06:17.481880,1786.43,UPI
111,2201,2025-03-02 09:29:50.051091,1298.09,UPI
112,34524,2024-07-03 08:12:11.823121,453.78,Cash
113,47208,2024-07-17 01:50:16.423712,1234.26,UPI
114,18704,2025-04-02 12:43:05.263522,1593.44,Net Banking
115,47284,2024-11-12 17:00:03.018767,893.53,Net Banking
116,4406,2024-07-01 15:08:07.567935,718.67,Cash
117,29896,2024-10-06 08:18:23.088333,1506.96,Net Banking
118,17598,2024-10-17 06:03:05.766527,1687.22,Cash
119,7500,2025-01-13 04:40:31.238700,179.82,Net Banking
120,10013,2024-12-28 17:04:30.910845,139.36,Net Banking
121,37070,2025-02-01 08:32:44.550027,1343.35,Cash
122,23827,2024-10-21 23:23:30.713471,1640.18,UPI
123,4629,2025-01-16 15:53:22.245348,833.69,UPI
124,1866,2024-09-19 10:59:04.063196,798.82,UPI
125,1671,2024-07-08 08:28:50.886224,1285.95,UPI
126,37050,2025-02-15 06:33:36.354561,756.05,Credit Card
127,11029,2025-02-14 22:38:20.641298,187.08,Credit Card
128,27426,2025-02-06 20:45:53.072060,1271.83,UPI
129,49766,2024-10-13 14:55:07.905221,759.88,Credit Card
130,46919,2024-08-19 15:51:57.049012,316.65,Cash
131,10878,2024-09-18 20:35:05.034530,364.98,Cash
132,38980,2024-11-12 08:17:45.136648,704.31,Cash
133,25608,2024-09-06 21:36:22.933715,1176.97,Cash
134,1971,2024-04-26 21:06:13.373567,1425.39,Net Banking
135,11711,2025-02-01 13:44:29.017945,1082.29,UPI
136,1000,2025-01-26 04:10:44.572439,1273.04,UPI
137,2060,2025-02-03 06:28:37.654742,605.99,Net Banking
138,14016,2024-10-01 01:54:58.372865,1908.34,Cash
139,10411,2025-02-17 06:52:47.448622,579.46,Net Banking
