feedback_id,customer_id,rating,comments,submitted_at
3725,7271,3,,2023-07-30
12347,861,,Bad,2020-09-01
19081,5391,4,Average,2020-10-04
13311,5192,2,Excellent,2024-03-25
18487,5735,4,Bad,2023-03-12
19658,6266,4,Bad,2023-07-24
11344,467,3,Bad,2022-09-05
16382,4427,2,Excellent,2022-09-13
5752,5579,4,Poor,2024-01-10
12927,8323,4,Excellent,2022-04-03
5325,1686,5,Bad,2023-04-09
12282,770,3,Bad,2022-01-24
9761,6950,5,Poor,2024-07-11
10516,2434,5,Average,2020-11-25
9519,5312,2,Excellent,2020-05-14
11388,5052,3,Excellent,2020-07-21
2943,6421,3,Average,2021-03-23
7332,1185,4,Poor,2023-05-10
7180,4556,3,Poor,2023-03-13
16110,3386,5,Great,2024-02-24
10943,6397,3,Great,2021-10-04
3476,8667,2,Average,2021-07-15
13346,9275,1,Average,2024-03-22
16569,2559,3,Excellent,2021-09-09
15868,7850,4,Great,2020-03-17
10408,2048,4,Bad,2020-07-13
5351,2748,4,Excellent,2022-11-18
12440,9168,3,Bad,2021-03-17
11769,9999,4,Excellent,2024-08-28
13998,190,3,Excellent,2020-04-21
10326,2735,4,Excellent,2023-04-09
15098,3006,,Great,2023-11-28
14343,4659,3,Excellent,2021-01-23
8542,1900,3,,2024-08-31
11816,7735,3,Bad,2022-03-28
2044,1268,3,Poor,2021-04-10
18809,1529,4,Excellent,2022-10-01
19006,3557,1,Excellent,2022-06-02
16313,3891,4,,2023-05-09
17669,8839,3,Excellent,2023-04-18
12468,5394,3,,2021-08-10
3492,8793,3,Bad,2024-10-19
14351,8434,3,Great,2021-07-07
18780,7514,1,Average,2022-03-25
15785,2613,5,Excellent,2021-04-29
9993,7042,4,Excellent,2020-03-30
8059,9556,2,Poor,2020-01-30
13804,6236,3,Excellent,2024-08-09
3360,5487,4,Bad,2022-08-02
850,7100,4,,2021-02-10
7866,9671,4,Great,2024-03-08
10362,776,3,Average,2024-02-23
5966,8227,3,,2023-10-12
7152,3153,1,Average,2023-08-03
6553,1586,2,Excellent,2024-10-05
10321,3944,4,Poor,2024-12-31
9497,7556,4,Great,2020-04-07
3081,3074,5,,2020-09-12
14588,1022,3,Average,2024-09-10
18860,3844,2,Great,2023-10-30
4417,7990,1,Great,2020-06-20
710,9693,1,Bad,2024-05-26
11095,6874,2,Average,2020-07-12
6741,5676,3,Excellent,2021-09-25
1780,162,5,Poor,2022-12-13
7323,4298,5,Average,2022-03-23
16156,996,3,Average,2023-01-04
4490,7630,5,Excellent,2020-03-16
4012,9468,3,,2024-01-31
18530,1017,4,,2023-09-16
18028,7870,4,Excellent,2020-02-28
5144,6440,4,Great,2023-02-09
5305,7893,3,Bad,2023-11-23
5261,6864,2,Great,2021-03-18
16048,7917,4,Average,2021-02-20
5197,8530,3,Excellent,2021-01-13
13077,879,3,Average,2022-10-06
9493,9269,3,Average,2020-05-19
8089,4888,3,Excellent,2020-11-26
11075,4860,5,Poor,2023-11-20
17723,6332,5,Poor,2023-12-15
10094,8572,5,Poor,2023-08-30
16596,8685,5,,2021-03-08
16673,7209,3,Excellent,2020-10-09
3525,5277,4,,2023-11-27
4732,2063,2,Excellent,2020-05-18
8618,65,2,Bad,2022-10-17
1614,8007,5,Average,2023-10-06
6350,2569,5,Excellent,2022-10-25
18622,5464,1,Poor,2023-02-17
13190,2028,4,,2023-08-11
17658,2696,1,Excellent,2020-07-17
7667,9688,3,Bad,2023-08-21
5783,5259,4,Excellent,2024-10-31
19196,5619,4,,2023-12-16
8517,6737,2,Bad,2021-05-13
4184,392,4,Great,2023-04-24
823,5893,4,Bad,2024-12-12
14645,3562,5,Bad,2021-01-30
9563,6185,1,Excellent,2021-05-16
15024,3100,5,,2022-08-10
9063,6279,5,Average,2023-03-06
11213,8393,4,Bad,2020-07-30
16023,3105,1,Bad,2020-05-13
19273,7216,4,Average,2020-11-15
3596,2455,3,Poor,2023-04-10
8580,8997,3,Excellent,2021-11-19
18081,2732,5,Bad,2020-04-13
9126,8155,3,,2020-01-29
4575,9763,4,Bad,2020-06-25
4888,5057,1,Average,2023-02-20
18035,8111,5,Average,2022-02-28
7127,3841,2,Average,2020-08-30
16959,1029,1,,2023-01-13
6811,7386,4,Average,2024-02-04
14965,503,2,Bad,2021-10-02
4330,6911,4,Poor,2020-12-20
3026,9063,5,Bad,2024-08-10
18004,6939,,Excellent,2021-02-17
13787,4489,4,Excellent,2020-05-01
316,207,3,Excellent,2021-06-09
2934,5135,2,Poor,2023-02-19
17452,5978,3,Excellent,2021-03-17
19548,7722,5,Average,2020-09-10
40,7036,4,Excellent,2024-08-12
5085,1485,1,Bad,2020-04-30
1999,7859,3,,2020-07-11
8720,864,4,Bad,2023-07-24
3041,2791,3,Excellent,2024-01-07
1287,7409,3,Excellent,2020-02-20
5443,8756,5,,2021-02-11
19471,5117,3,Excellent,2023-12-18
5796,6020,5,Average,2024-01-03
14819,1758,4,Average,2020-04-08
9367,7575,3,Bad,2023-01-03
16155,6375,3,,2020-06-06
4557,6893,5,Poor,2024-12-27
18638,1679,5,,2022-12-10
10662,3243,3,Poor,2023-02-08
17715,4637,,,2022-04-10
16586,1060,5,Poor,2020-02-04
15836,6669,5,Great,2020-02-21
700,9915,3,Average,2021-10-23
6471,3158,1,Great,2023-03-03
8796,5916,4,Bad,2024-10-22
15510,9790,4,Poor,2023-03-01
2383,2694,,Great,2023-04-22
1378,3628,4,Bad,2024-03-24
2116,9556,2,Excellent,2021-08-04
1519,5451,1,Average,2022-08-14
15188,1664,3,Bad,2023-05-11
16337,9722,4,Poor,2023-08-29
2017,5593,1,Bad,2020-03-05
6417,7393,3,Excellent,2020-01-11
16308,1307,4,Average,2020-12-14
16105,6777,5,Bad,2024-12-14
13587,5865,3,Great,2020-08-05
16088,9475,3,Great,2023-01-24
6999,7527,1,Great,2022-09-15
10838,8902,4,Average,2020-06-01
10778,5576,5,,2021-07-05
4310,5531,1,Excellent,2021-09-25
13063,4414,5,Great,2020-09-22
7192,3749,4,Excellent,2024-08-01
13435,664,2,Poor,2020-06-20
1153,1999,,Bad,2020-01-13
14773,7995,3,,2024-07-24
4975,1496,3,Great,2021-03-30
18706,3305,,Excellent,2024-11-04
1667,3764,5,Great,2021-05-24
3454,5233,3,Poor,2020-01-22
11305,1854,5,Bad,2024-05-17
15286,6586,5,Average,2022-01-15
6438,1292,4,Poor,2020-05-17
5927,3582,3,Excellent,2022-09-03
1762,7555,3,Poor,2021-08-23
9709,7281,,Excellent,2022-08-20
17874,1637,3,Great,2022-07-26
9499,3697,5,Poor,2020-03-18
6212,699,4,Poor,2020-05-18
11379,4738,4,Poor,2020-09-02
2857,855,4,,2024-11-26
316,8165,4,Excellent,2022-04-13
8402,5856,3,,2022-05-13
13404,7393,2,,2023-04-03
13072,6529,5,,2022-09-27
12310,5250,5,Average,2020-11-12
18490,5173,3,Poor,2021-05-30
6597,1708,3,,2023-11-09
19550,5792,1,Poor,2021-02-21
17413,9926,,Average,2022-06-16
4646,5536,3,Poor,2022-08-26
6380,4932,1,Excellent,2023-12-01
14921,3511,1,Great,2021-01-10
3955,203,4,Poor,2022-06-20
16044,4219,4,Poor,2022-01-23
366,8959,3,Bad,2022-05-06
8149,4390,5,Average,2020-08-22
4095,2328,5,Bad,2020-01-17
2001,8005,5,Poor,2021-03-06
10404,2932,5,,2024-06-18
17823,7778,3,Average,2024-05-20
8918,198,3,Excellent,2020-10-02
14537,7126,2,Poor,2024-01-25
19084,1931,5,Great,2023-05-27
12198,6288,5,Great,2022-06-09
17787,8801,3,Great,2021-09-23
16257,9340,5,Poor,2023-02-28
18014,4283,4,Bad,2024-01-13
6436,2512,4,Average,2021-06-25
10194,9987,5,Average,2020-12-03
18553,660,5,Great,2020-08-11
5099,2812,,Poor,2023-09-29
4270,7099,3,Excellent,2022-08-29
11145,6547,5,,2022-02-08
12486,9562,2,Great,2023-07-23
17016,1987,1,Average,2023-10-31
421,8339,3,,2022-10-27
17625,2912,5,Great,2020-01-10
652,1735,5,Great,2023-02-22
15613,1844,4,Bad,2020-08-10
11300,8681,5,Average,2022-07-22
11788,2977,4,Bad,2023-12-07
17116,1960,5,Great,2023-10-05
16779,5760,4,Bad,2022-07-06
10237,6695,4,Average,2024-04-15
12309,2386,5,Poor,2024-11-27
16799,4737,4,Bad,2021-02-10
7867,1803,1,Poor,2023-12-22
13173,8156,2,Excellent,2024-02-24
14979,8121,2,Excellent,2020-02-18
15005,6617,4,Excellent,2022-07-06
10341,5535,5,Great,2024-09-24
16933,4062,4,Average,2020-10-14
12508,263,1,Excellent,2022-03-29
12794,6288,3,,2023-04-22
11339,8816,3,Poor,2021-08-31
13369,9209,2,Average,2023-01-08
7895,2050,4,Average,2024-04-26
3954,5424,1,Excellent,2020-06-30
12558,4549,3,Excellent,2022-12-09
1120,3109,2,Bad,2020-01-10
375,7159,1,Great,2022-08-29
8764,7401,5,Great,2023-10-28
8367,3171,4,,2024-04-02
17751,9875,3,,2023-07-29
7901,2256,3,Bad,2024-04-08
14780,1155,4,Bad,2020-12-02
16390,4500,3,,2024-11-14
9420,6296,,Average,2023-09-18
1252,6198,4,Excellent,2023-10-14
3396,9889,4,Average,2021-08-03
8169,1649,5,Great,2020-02-04
4460,5540,3,Excellent,2024-06-08
13420,9638,5,Great,2023-11-02
15609,4200,2,Average,2022-03-09
18926,8446,1,Average,2024-11-06
34,2558,4,Poor,2020-08-13
10832,5593,5,Great,2021-11-29
10989,99,5,Bad,2022-07-26
6056,2201,4,Average,2021-10-27
4604,2962,3,Excellent,2020-08-21
11411,4974,3,Great,2020-07-15
10742,4434,3,Bad,2023-12-21
9340,2870,,,2024-01-14
11841,957,2,Poor,2024-08-03
16800,8353,1,Average,2020-03-07
15477,5700,5,Bad,2023-08-04
8385,6945,5,Bad,2024-07-20
19132,4494,3,Poor,2020-10-11
6183,9493,4,Bad,2020-10-05
5084,4912,5,Average,2022-09-10
11410,3988,3,Poor,2021-07-12
5800,9720,4,Bad,2023-05-21
17309,6016,5,Great,2020-03-21
11416,1219,4,Great,2020-04-29
3499,4497,5,,2020-06-12
16041,4736,1,,2021-09-18
1618,4556,3,Poor,2021-06-16
12538,9147,4,Bad,2020-07-16
8488,8051,2,Great,2020-01-05
1887,3447,3,,2024-10-04
10879,1046,4,,2023-12-12
14254,6894,3,Excellent,2021-04-18
16244,1694,5,Excellent,2023-05-11
11905,3437,3,Great,2024-06-08
7369,8755,5,Poor,2023-12-22
9816,5896,5,Great,2020-08-27
1804,3355,4,Average,2020-01-05
154,226,3,Average,2020-08-13
10828,4894,2,Great,2023-02-24
4685,7023,4,Great,2023-01-23
15447,9152,1,,2020-05-28
12175,5601,3,,2022-10-02
19369,7997,2,Poor,2020-11-18
18026,9008,4,Excellent,2022-03-08
18516,7684,4,Poor,2020-12-12
12966,4643,3,Poor,2022-06-02
3512,7680,2,,2023-04-30
117,8209,4,Excellent,2022-03-17
15616,7340,1,,2021-03-06
7670,9436,2,Average,2024-04-28
14041,2206,4,Excellent,2023-04-28
6816,1070,5,Bad,2021-08-25
19963,3445,4,Poor,2020-12-17
3103,1061,3,Excellent,2024-08-18
12616,2328,4,Great,2024-11-28
1406,3421,2,,2023-12-02
1103,302,3,Average,2024-09-03
2138,607,2,Average,2024-06-23
17019,3171,5,Poor,2023-03-15
5951,700,3,,2024-04-02
5949,5089,4,,2022-07-08
4887,9332,5,Great,2024-04-10
1280,191,5,Great,2022-07-19
16016,981,3,,2021-02-27
9855,2976,2,Average,2023-05-07
2604,6103,4,Bad,2022-02-28
9235,1185,4,Poor,2023-01-30
8105,3328,5,Bad,2020-03-06
12898,3395,4,Excellent,2024-10-16
17414,8320,5,Average,2023-12-05
9368,1817,2,Great,2024-09-06
10924,5855,4,Poor,2022-09-18
630,6710,4,Great,2024-07-13
18216,570,4,Excellent,2023-12-03
6833,5443,1,Great,2024-03-11
19211,1896,5,Poor,2021-12-03
18555,2734,4,Bad,2021-07-09
1854,3864,2,Poor,2022-11-12
14486,7456,5,Average,2023-07-15
641,4015,3,Poor,2023-07-16
1269,1687,,Great,2024-11-16
3042,3010,2,Great,2023-05-24
10117,7807,4,Great,2021-12-03
9467,155,,Poor,2020-05-26
818,1410,4,Great,2020-08-08
10802,785,1,Great,2024-05-18
13293,8097,3,,2020-10-17
18113,7561,4,Average,2021-06-26
17193,7344,5,,2022-07-31
14972,7207,5,Great,2021-05-27
118,5597,2,,2020-05-01
935,5802,5,Poor,2021-09-17
8953,2807,4,Excellent,2024-11-18
2666,538,3,Great,2024-12-04
3912,5987,5,Average,2024-10-06
16332,1842,,Average,2024-09-03
15991,8717,2,Excellent,2020-07-08
9572,6972,1,Poor,2020-04-17
16498,5626,4,Great,2023-01-05
3082,2951,1,Excellent,2021-09-25
8985,7993,3,,2022-03-22
8788,4781,3,Poor,2020-02-07
17842,2369,5,,2021-01-18
14013,6656,4,Great,2023-02-02
354,8174,4,Bad,2023-04-25
185,4496,2,Average,2024-12-30
13564,9164,5,Bad,2021-12-18
9996,6003,5,,2020-11-14
1570,6615,4,Poor,2022-07-05
8584,9359,5,Average,2023-07-31
4616,5920,4,,2024-05-15
18894,854,1,Great,2021-01-08
5890,4147,5,,2024-07-17
3050,3770,2,Average,2023-05-24
10826,575,1,,2021-11-04
4069,1149,5,Average,2020-01-01
7057,6294,3,Excellent,2023-05-09
19275,6458,5,Bad,2020-10-03
6113,7510,4,Poor,2022-10-13
10670,9908,1,Excellent,2022-12-18
3713,4778,3,,2023-01-11
14052,3855,2,Great,2021-04-18
3412,2492,4,Excellent,2020-11-06
10275,3125,2,,2021-10-29
6357,5692,4,Excellent,2021-05-15
16951,3052,4,Average,2024-08-05
