campaign_id,customer_id,channel,engaged,sent_date
363,7271,Email,,2021-04-08
348,861,SMS,No,2022-01-06
454,5391,SMS,No,2021-04-02
342,5192,Email,,2023-01-05
257,5735,Email,No,2022-02-09
205,6266,Email,No,2024-09-15
106,467,App Notification,Yes,2023-02-12
446,4427,App Notification,,2023-12-01
404,5579,SMS,,2022-01-15
450,8323,SMS,,2021-10-22
283,1686,Email,Yes,2024-10-08
414,770,SMS,,2021-04-19
101,6950,App Notification,Yes,2024-02-04
453,2434,SMS,Yes,2024-05-27
422,5312,SMS,Yes,2023-03-21
147,5052,Email,Yes,2021-04-30
460,6421,Email,No,2023-07-06
295,1185,Email,No,2024-12-19
230,4556,SMS,Yes,2023-02-19
143,3386,Email,No,2021-10-15
404,6397,App Notification,Yes,2023-02-10
419,8667,App Notification,,2021-08-21
383,9275,SMS,,2023-02-22
135,2559,App Notification,Yes,2023-10-30
272,7850,Email,No,2024-05-07
413,2048,SMS,Yes,2021-09-01
400,2748,Email,Yes,2021-05-15
399,9168,App Notification,Yes,2024-06-07
325,9999,Email,,2024-07-21
427,190,Email,No,2024-01-31
372,2735,Email,,2024-03-04
240,3006,Email,,2022-12-13
473,4659,App Notification,Yes,2021-04-20
290,1900,Email,No,2024-04-08
155,7735,App Notification,No,2022-02-20
416,1268,Email,No,2022-12-10
485,1529,Email,Yes,2021-02-16
169,3557,SMS,Yes,2023-06-13
281,3891,Email,,2021-12-26
253,8839,SMS,,2022-03-16
108,5394,App Notification,,2022-05-11
489,8793,SMS,No,2021-04-08
199,8434,App Notification,,2023-04-28
275,7514,App Notification,No,2022-10-23
302,2613,SMS,Yes,2022-08-19
249,7042,SMS,,2021-04-02
389,9556,Email,No,2021-11-22
490,6236,SMS,Yes,2024-05-13
251,5487,Email,,2023-07-14
204,7100,App Notification,Yes,2024-04-07
249,9671,SMS,No,2021-12-23
186,776,SMS,Yes,2021-06-10
401,8227,App Notification,,2023-12-12
159,3153,Email,No,2023-06-18
217,1586,SMS,,2022-11-10
165,3944,Email,No,2023-04-07
200,7556,App Notification,,2022-09-01
152,3074,App Notification,No,2024-12-31
392,1022,App Notification,,2024-05-27
177,3844,App Notification,No,2023-01-10
184,7990,Email,,2021-03-01
