order_item_id,order_id,food_id,quantity,item_name
33263,36074,261,2,Wrap
1137,26711,181,1,Fries
25721,1343,125,2,Fries
18208,34773,466,2,Pizza
13659,11496,134,4,Wrap
16617,6432,135,4,Sushi
12686,6933,292,3,Salad
30423,29701,291,3,Salad
7143,12109,469,1,Sushi
20509,21571,158,4,Wrap
34855,8294,260,3,Wrap
39692,15478,108,4,Sushi
44607,35394,288,4,Burger
29708,26314,402,3,Wrap
26078,24229,119,2,Wrap
2706,21984,138,1,Fries
9124,27849,112,2,Sushi
49001,7256,113,2,Pizza
8466,44762,405,4,Pizza
18031,45241,391,2,Sushi
24947,1339,196,2,Salad
23782,12120,182,3,Pizza
42133,37975,436,1,Burger
2202,19888,120,2,Sushi
27171,2343,431,2,Wrap
23691,42641,210,3,Pizza
44549,38223,119,1,Sushi
38691,15319,483,4,Salad
39423,11725,497,3,Sushi
4047,16501,374,2,Burger
14338,16212,456,4,Pizza
6884,26211,132,1,Sushi
20963,11964,426,4,Fries
34622,16562,150,3,Pizza
28620,25037,137,1,Burger
42980,15196,235,3,Wrap
42503,45079,121,1,Salad
18810,29055,199,4,Pizza
35972,2657,347,3,Fries
28623,6681,229,3,Wrap
696,21235,363,1,Salad
4632,22840,280,3,Fries
26699,22107,195,4,Wrap
13566,44097,323,3,Sushi
19011,3175,462,3,Fries
3231,26465,456,2,Pizza
8020,21882,213,1,Pizza
20267,6875,381,1,Wrap
34825,2265,364,2,Sushi
26219,24193,446,4,Fries
32855,25163,343,4,Pizza
21705,43712,408,1,Wrap
45744,38970,199,4,Wrap
39507,45148,171,1,Burger
11749,10883,323,1,Wrap
47552,8657,254,4,Pizza
25788,34879,349,2,Burger
1460,38610,214,4,Pizza
11704,21504,431,4,Burger
28940,10954,437,4,Fries
4545,31534,368,3,Wrap
39703,6490,401,4,Sushi
25829,3525,391,1,Fries
39076,41454,313,3,Pizza
39147,29777,165,2,Fries
33396,32935,311,1,Sushi
25009,42203,318,2,Burger
24976,35382,372,4,Salad
7178,4097,235,1,Sushi
18070,47117,349,1,Burger
12629,48866,430,2,Burger
2318,43474,210,1,Wrap
44870,5681,345,4,Fries
29520,26971,440,3,Pizza
24400,20908,418,4,Burger
4757,7887,305,3,Salad
36136,18826,201,1,Pizza
30230,49133,492,2,Fries
28000,22236,105,2,Fries
7146,43691,388,1,Sushi
26452,15970,210,1,Pizza
11707,4086,351,2,Burger
39302,43779,124,4,Pizza
1498,48170,465,1,Fries
1015,25036,107,2,Wrap
20146,20768,493,3,Wrap
25810,49038,486,1,Wrap
43181,24816,389,1,Fries
16861,13529,285,2,Pizza
4962,41975,231,3,Fries
35643,1587,161,1,Pizza
48504,22195,403,4,Salad
36988,21981,112,3,Fries
18927,21250,261,1,Pizza
27864,29668,472,2,Sushi
48465,9515,305,3,Sushi
30924,30306,203,1,Salad
24814,19508,237,1,Wrap
40010,24734,307,4,Pizza
1435,15013,163,3,Burger
39043,29313,224,3,Sushi
384,23350,430,2,Sushi
17307,15648,235,2,Salad
20753,23127,250,4,Salad
24447,26390,217,3,Sushi
4021,37649,471,2,Fries
41120,6738,242,4,Wrap
27376,11151,113,3,Pizza
19017,20387,298,3,Fries
36773,22191,317,4,Salad
6063,13899,305,4,Salad
49646,46941,179,1,Fries
13143,14934,331,2,Burger
28255,16604,486,3,Salad
26965,47323,284,4,Sushi
43455,16901,444,3,Fries
18882,36934,194,4,Salad
49961,35191,146,3,Burger
26137,5618,411,1,Salad
9904,40640,379,2,Salad
7946,45591,184,4,Salad
28601,33340,215,4,Burger
5474,38684,184,4,Burger
9116,22807,464,3,Burger
10472,16162,277,2,Fries
13657,32198,116,4,Sushi
20118,29658,119,1,Pizza
14863,25839,461,1,Sushi
29515,19521,454,3,Sushi
48425,22622,226,2,Sushi
16042,12003,165,1,Burger
29737,28845,421,4,Fries
26997,19437,266,2,Sushi
18764,21459,370,2,Salad
49718,25061,443,2,Salad
7409,9799,278,2,Wrap
7507,22497,130,1,Wrap
36644,4744,421,1,Pizza
30406,4077,150,1,Salad
43494,22265,446,3,Salad
13377,14140,401,3,Fries
31273,23147,253,4,Sushi
36071,26041,133,3,Salad
30877,34584,428,2,Wrap
24767,42850,182,2,Burger
42952,25198,126,1,Pizza
6058,21458,131,4,Salad
19854,26686,168,3,Wrap
18999,5104,486,3,Salad
40244,13641,204,2,Salad
24306,43945,294,1,Wrap
13025,44208,211,2,Wrap
29966,3378,328,3,Wrap
18023,38755,345,1,Burger
8347,32074,366,4,Salad
24431,11128,337,4,Burger
26342,32013,402,2,Burger
24811,2946,478,3,Fries
48947,34412,151,3,Pizza
19655,6295,469,4,Wrap
38355,25459,184,3,Wrap
5259,6591,134,4,Sushi
10625,31513,238,4,Pizza
38534,21886,273,3,Salad
42214,40831,138,2,Burger
23496,32219,225,3,Pizza
22967,22633,467,2,Burger
37050,39133,397,1,Salad
33809,41397,220,3,Sushi
33090,2875,378,3,Salad
37818,47528,385,1,Salad
13506,9032,329,2,Pizza
46842,10241,382,1,Burger
10457,7674,466,2,Burger
40697,36900,362,2,Pizza
38360,6677,488,2,Salad
6228,43935,219,1,Sushi
22007,48297,189,2,Pizza
19828,9303,331,1,Salad
42448,20965,184,4,Burger
33580,47564,462,2,Fries
33765,30116,170,1,Pizza
31967,3779,221,3,Burger
47845,31659,375,3,Fries
42445,36777,432,1,Wrap
24594,13544,162,4,Pizza
30337,10380,405,1,Wrap
46136,35839,198,1,Burger
14028,33198,108,1,Sushi
5458,32557,277,4,Burger
48391,9657,367,1,Wrap
15372,31721,245,2,Sushi
12293,5647,141,4,Sushi
10110,47518,316,4,Pizza
23254,23151,122,2,Salad
18843,21768,427,3,Wrap
27802,30151,356,3,Sushi
3679,46687,204,3,Sushi
24211,5027,378,2,Wrap
12852,41654,222,4,Salad
35851,3186,336,4,Salad
31970,38530,193,1,Sushi
14891,12702,156,3,Sushi
30312,36485,362,3,Sushi
8465,19890,250,1,Fries
31940,18764,458,3,Burger
7604,30692,354,3,Burger
8895,4731,313,3,Wrap
1057,29435,473,2,Burger
38782,49021,176,4,Pizza
36809,26667,297,3,Sushi
17839,38171,235,3,Sushi
12733,32288,367,3,Pizza
28815,44254,418,3,Burger
19331,21656,497,2,Sushi
27396,14980,406,3,Wrap
41380,47940,364,2,Fries
45773,9799,439,3,Sushi
14372,22735,415,2,Pizza
49682,33342,214,4,Salad
2844,29521,153,4,Burger
42852,49013,400,2,Burger
17367,5629,218,2,Wrap
30212,41689,461,1,Sushi
45952,43203,162,4,Burger
6023,19730,283,2,Fries
21616,34078,476,2,Pizza
3988,44362,177,3,Pizza
24420,40432,207,1,Salad
7406,2716,456,1,Salad
36535,35453,253,3,Sushi
29771,48354,429,4,Burger
14511,17677,337,4,Pizza
26275,4633,106,4,Sushi
14274,34972,351,2,Salad
46196,22302,193,2,Fries
13889,47697,286,1,Pizza
44707,19124,216,3,Sushi
45548,45548,360,3,Wrap
22099,11616,238,3,Burger
40125,17342,387,4,Salad
41044,3123,228,1,Fries
2983,36759,292,2,Wrap
48301,24205,383,4,Pizza
8276,39791,122,3,Burger
22335,36816,213,2,Pizza
4048,28724,246,1,Burger
26970,28220,326,4,Pizza
12472,15893,261,3,Fries
28406,40363,251,4,Wrap
19975,32255,123,2,Pizza
17401,38087,172,3,Sushi
48873,24001,118,3,Wrap
8535,46538,167,2,Sushi
21384,12112,458,4,Burger
639,20947,212,4,Pizza
22968,33580,427,2,Burger
9473,36815,281,4,Burger
42004,44323,114,3,Salad
41801,11413,325,4,Salad
27726,35124,230,3,Sushi
10934,4336,393,4,Pizza
49785,13126,251,3,Sushi
8908,32051,318,4,Burger
23726,7662,424,3,Burger
13139,18844,103,4,Sushi
39263,35895,147,2,Salad
32176,21890,191,3,Wrap
5762,37161,424,2,Pizza
29186,45298,267,3,Wrap
17258,15614,408,2,Salad
42469,32077,378,1,Pizza
10588,37693,165,3,Burger
4768,33317,180,2,Pizza
13373,4634,299,3,Fries
1803,23895,300,3,Fries
2396,31428,170,3,Fries
37084,30928,368,1,Wrap
16927,18115,396,1,Salad
4523,21074,146,1,Wrap
7605,38128,305,3,Wrap
26087,38694,336,4,Wrap
41143,11263,272,1,Sushi
4507,29612,339,3,Wrap
29634,40134,204,1,Fries
15930,32369,141,2,Pizza
2859,20943,442,4,Wrap
35335,15375,322,1,Fries
46648,40893,309,3,Fries
3547,28835,490,1,Wrap
33656,47360,210,1,Wrap
33582,22516,433,1,Salad
5327,18839,310,4,Sushi
16124,43197,459,4,Sushi
42750,14094,174,1,Burger
9761,4600,142,3,Burger
4672,18283,346,4,Burger
17636,30030,263,3,Wrap
39097,29179,231,3,Burger
10997,46099,298,3,Fries
33810,16578,487,2,Burger
26334,23826,205,1,Salad
24645,6919,230,3,Salad
9118,16614,176,3,Pizza
32721,38844,426,2,Pizza
33249,10903,481,1,Fries
334,12124,106,4,Fries
15427,40556,312,2,Sushi
20778,17859,361,4,Burger
46241,30035,240,3,Sushi
12671,11818,296,3,Wrap
28772,9897,272,3,Fries
24310,2160,195,4,Sushi
27898,9326,487,3,Fries
14756,18499,155,3,Burger
45903,27036,304,1,Wrap
12624,19400,464,3,Fries
13614,23391,494,3,Wrap
13917,38519,245,2,Wrap
10449,24673,417,2,Salad
13627,26820,161,3,Fries
35283,49945,421,2,Wrap
15180,39726,396,1,Fries
19416,4209,382,1,Salad
30270,12911,365,2,Wrap
6590,34094,135,2,Fries
39248,23807,408,1,Salad
7268,46373,412,3,Fries
18097,34156,148,1,Fries
30469,34539,148,2,Wrap
24213,19582,272,4,Sushi
8686,35897,475,2,Burger
40332,36303,219,1,Pizza
19683,45625,484,1,Wrap
10060,30857,421,4,Pizza
12659,10900,289,3,Fries
21320,1839,265,2,Sushi
33238,11543,179,2,Wrap
11359,7863,145,4,Wrap
46032,9519,133,2,Pizza
48878,6528,495,3,Burger
26377,13058,455,2,Fries
39676,29751,300,4,Burger
47354,14540,124,2,Salad
47758,11310,257,4,Salad
24453,48047,438,1,Fries
17059,27027,172,2,Sushi
39225,12250,288,3,Sushi
43012,38775,392,2,Pizza
44327,44765,387,3,Sushi
16617,26799,366,3,Burger
26413,20837,159,4,Wrap
19748,24962,197,1,Burger
20484,31418,486,4,Pizza
42037,45901,465,2,Fries
