payment_id,order_id,payment_date,amount,payment_method
30601,36074,2024-06-09,56.05,Cash
19770,26711,2021-12-22,95.92,Card
17852,1343,2020-03-06,37.35,Cash
15214,34773,2021-04-18,32.2,UPI
23855,11496,2024-07-17,71.45,Cash
4676,6432,2020-01-30,89.21,Cash
19549,6933,2024-04-30,30.44,Wallet
6306,29701,2021-08-03,58.48,Cash
10616,12109,2023-10-21,6.67,Card
17719,21571,2021-02-05,38.39,Cash
8638,8294,2020-11-29,94.36,Cash
20039,15478,2024-11-28,91.56,Cash
35816,35394,2023-11-17,74.26,Cash
34204,26314,2023-12-08,88.59,Cash
5860,24229,2020-02-11,83.24,Wallet
45567,21984,2024-04-20,21.03,Wallet
46152,27849,2022-09-02,36.34,Card
22043,7256,2022-03-04,60.82,Wallet
12740,44762,2020-02-08,12.67,Card
2608,45241,2020-05-05,33.47,Cash
45174,1339,2020-05-02,51.23,UPI
17957,12120,2023-03-21,71.5,Card
42707,37975,2020-05-22,16.21,UPI
46939,19888,2020-02-16,84.81,Card
26690,2343,2024-10-13,5.41,Cash
7209,42641,2024-03-16,12.97,Card
25888,38223,2021-11-15,97.56,Card
42266,15319,2024-04-28,53.47,UPI
38868,11725,2021-11-04,13.81,Card
33047,16501,2023-01-21,16.3,Wallet
38691,16212,2022-01-30,32.09,Card
369,26211,2022-10-29,69.23,Card
1572,11964,2020-09-01,71.35,Cash
30826,16562,2024-09-22,68.06,UPI
969,25037,2020-04-09,17.06,Cash
33837,15196,2023-06-09,95.01,Wallet
33017,45079,2021-05-23,42.89,Cash
1793,29055,2024-01-19,27.01,UPI
40369,2657,2023-02-15,34.84,UPI
31956,6681,2023-05-31,89.01,Wallet
48085,21235,2023-02-27,93.52,UPI
15205,22840,2022-04-18,22.88,Cash
2885,22107,2021-05-29,14.3,Cash
16532,44097,2024-05-27,72.93,Cash
35709,3175,2022-12-30,69.48,Card
46904,26465,2024-08-03,80.26,Card
22916,21882,2023-12-09,12.79,Wallet
44676,6875,2020-05-05,57.5,Cash
40553,2265,2022-06-23,42.93,Wallet
28167,24193,2023-05-13,32.53,Cash
47917,25163,2024-03-01,32.63,Wallet
26008,43712,2024-10-24,89.89,Card
3135,38970,2022-12-16,48.45,Cash
20087,45148,2022-07-23,74.34,Cash
42019,10883,2022-07-03,72.97,Wallet
6367,8657,2022-04-09,72.85,Cash
28854,34879,2022-12-29,96.88,Card
20625,38610,2022-09-08,51.0,Card
7792,21504,2024-02-16,14.61,Cash
16094,10954,2020-01-08,86.76,UPI
28329,31534,2023-10-18,71.21,Card
6511,6490,2024-01-01,43.41,Card
1110,3525,2021-03-27,89.06,Wallet
33106,41454,2022-02-16,73.0,Cash
41313,29777,2020-01-13,29.86,UPI
29442,32935,2021-02-14,96.99,Wallet
32955,42203,2023-12-18,98.13,Wallet
5320,35382,2024-08-10,5.03,Cash
10002,4097,2022-01-18,30.42,Wallet
35784,47117,2020-11-24,35.64,Cash
22914,48866,2023-05-08,47.22,Cash
36319,43474,2021-02-05,31.23,Card
46645,5681,2021-05-05,17.06,UPI
13216,26971,2021-04-24,51.16,Wallet
47260,20908,2024-12-12,86.22,Wallet
49478,7887,2022-01-09,26.03,Cash
29494,18826,2022-04-27,35.58,Card
24605,49133,2022-08-30,81.63,Cash
1613,22236,2020-01-05,47.45,Wallet
20616,43691,2024-09-29,20.69,Cash
24529,15970,2022-09-10,63.32,Card
49556,4086,2024-01-31,35.12,Card
4547,43779,2024-02-29,54.96,Card
32067,48170,2022-03-02,27.43,Wallet
27097,25036,2021-02-23,18.6,Wallet
48526,20768,2022-05-14,78.1,UPI
5279,49038,2022-01-10,52.37,UPI
15923,24816,2022-02-01,60.56,Wallet
12122,13529,2020-10-08,43.03,Cash
36144,41975,2021-05-19,7.61,Cash
34256,1587,2024-11-15,46.35,Card
2558,22195,2022-06-18,45.06,Card
28380,21981,2023-06-30,84.56,Card
16328,21250,2023-05-21,14.58,Wallet
26659,29668,2021-10-26,30.42,Card
10151,9515,2023-08-09,16.9,UPI
18517,30306,2023-04-07,42.42,Wallet
21112,19508,2024-09-26,39.64,Wallet
44672,24734,2024-05-12,27.7,Card
40250,15013,2023-09-23,56.96,UPI
9445,29313,2020-08-24,64.0,Cash
21056,23350,2020-07-07,92.42,Card
43444,15648,2021-09-26,82.07,Cash
17715,23127,2024-01-08,94.01,Cash
