food_id,name,category,price
0,Manchurian,Chinese,339.55
1,Gulab Jamun,Desserts,463.07
2,Idli Sambar,South Indian,167.64
3,Burger,Fast Food,187.64
4,Idli Sambar,South Indian,327.88
5,Dal Makhani,North Indian,358.08
6,Manchurian,Chinese,143.63
7,Idli Sambar,South Indian,208.1
8,Manchurian,Chinese,381.09
9,Idli Sambar,South Indian,301.75
10,Gulab Jamun,Desserts,438.13
11,Ice Cream,Desserts,88.14
12,Pizza,Fast Food,380.98
13,Pizza,Fast Food,144.87
14,Chole Bhature,North Indian,450.05
15,Chole Bhature,North Indian,381.34
16,Dal Makhani,North Indian,407.35
17,Gulab Jamun,Desserts,393.81
18,Spring Rolls,Chinese,373.67
19,Manchurian,Chinese,346.0
20,Chole Bhature,North Indian,93.35
21,Dosa,South Indian,449.47
22,Rasgulla,Desserts,419.26
23,Fries,Fast Food,172.37
24,Paneer Butter Masala,North Indian,341.74
25,Gulab Jamun,Desserts,467.88
26,Manchurian,Chinese,479.44
27,Hakka Noodles,Chinese,191.96
28,Burger,Fast Food,99.03
29,Burger,Fast Food,111.75
30,Idli Sambar,South Indian,72.29
31,Dal Makhani,North Indian,302.54
32,Paneer Butter Masala,North Indian,281.91
33,Rasgulla,Desserts,220.99
34,Hakka Noodles,Chinese,160.33
35,Dal Makhani,North Indian,173.66
36,Dosa,South Indian,327.93
37,Fries,Fast Food,277.32
38,Dal Makhani,North Indian,426.12
39,Gulab Jamun,Desserts,423.56
40,Ice Cream,Desserts,375.03
41,Dal Makhani,North Indian,319.26
42,Burger,Fast Food,137.4
43,Burger,Fast Food,417.52
44,Gulab Jamun,Desserts,73.77
45,Gulab Jamun,Desserts,389.14
46,Dosa,South Indian,256.94
47,Gulab Jamun,Desserts,111.15
48,Burger,Fast Food,82.78
49,Spring Rolls,Chinese,114.33
50,Dosa,South Indian,132.76
51,Fries,Fast Food,495.21
52,Burger,Fast Food,401.35
53,Pizza,Fast Food,479.9
54,Rasgulla,Desserts,104.07
